"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SFC";"sqcap-flat";1;"sfc*";;;
2;"J3";"JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical";1;"BATT";;;
3;"U2";"ESP-12E_SMD";1;"ESP-12E";;;
4;"Q1";"SOT-23_Handsoldering";1;"IRLML2502";;;
5;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"I2C_sensor";;;
6;"R5";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"220K";;;
7;"R2,R6";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"1K";;;
8;"R1";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"10K";;;
9;"C2";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"10nF";;;
10;"C3";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"3.3-10uF";;;
11;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Pump";;;
12;"R3";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"330K";;;
13;"C1";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1uF";;;
14;"D1";"D_SOD-123";1;"1N4148W";;;
15;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"FTDI";;;
16;"R4";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"100K";;;
17;"U1";"SOP-8_3.76x4.96mm_P1.27mm";1;"LT1763";;;
18;"SW1";"SW_SPST_EVQP7A";1;"Program";;;
